to, at	a
I love her so much that I can't leave her.	La amo tanto que no puedo separarme de ella.
friend	amigo / amiga
I'd like to introduce some friends of mine.	Quiero presentar algunos amigos míos.
the friendship	la amistad
Our friendship will last a long time.	Nuestra amistad va a durar mucho tiempo.
both	ambos
It's worthwhile to visit both places.	Vale la pena de visitar ambos lugares.
the love	el amor
For your love, I would do anything.	Por tu amor, haría cualquier cosa.
wide	ancho
The main streets are very wide.	Las avenidas principales son muy anchas.
to walk, to be, to go (slang)	andar
Old people walk slowly.	Los viejos andan despacio.
the platform	el andén
On what platform does the train from Barcelona arrive?	En qué andén llega el tren de Barcelona?
the ring	el anillo
Her fiancé gave her a very big ring.	Su novio le dio un anillo muy grande.
last night	anoche
Last night I arrived late.	Anoche llegué tarde.
the eyeglasses	los anteojos
He wears eyeglasses to read.	Usa anteojos para leer.
before	antes de
Before going to France we decided to study French.	Antes de ir a Francia decidimos estudiar francés.
the announcement, advertisement	el anuncio
Read the advertisement section if you're looking for a job.	Lea la sección de anuncios si busca empleo.
to add	añadir
I can't add anything else.	No puedo añadir nada más.
the year	el año
We hope to come back next year.	Esperamos volver el año que viene.
to turn off, extinguish	apagar
Turn off the light on leaving the room.	Apague la luz al salir del cuarto.
the appliance	el aparato
There are many useful appliances in the hardware store.	Hay muchos aparatos útiles en la ferretería.
to appear	aparecer
He suddenly appeared after a three year absence.	De repente apareció después de tres años de ausencia.
the surname	el apellido
What is your surname?	Cuál es su apellido?
to learn	aprender
We learn a lot in our trips abroad.	Aprendemos mucho en nuestros viajes al extranjero.
to hurry	apresurarse
It's late already. Hurry up!	Ya es tarde. Apresúrense!
to take advantage of	aprovechar
I want to take advantage of the opportunity to speak to the governor.	Quiero aprovechar la oportunidad de hablar con el gobernador.
that, those	aquel (aquella, aquellos, aquellas)
I remember those times.	Me acuerdo de aquellos tiempos.
here (Hispanic)	aquí
Spanish is spoken here.	Aquí se habla español.
the tree	el árbol
His house is surrounded by trees.	Su casa está rodeada de árboles.
the sand	la arena
Blood and Sand is the title of a novel by Blasco Ibáñez.	Sangre y arena es el título de una novela de Blasco Ibáñez.
the earrings	los aretes
They have a good choice of earrings in this jewelry store.	Tienen una buena selección de aretes en esta joyería.
the closet	el armario
This room has two closets for clothing.	Esta habitación tiene dos armarios para la ropa.
to fix, repair, arrange	arreglar
Is everything arranged for tomorrow?	Está todo arreglado para mañana?
up, above	arriba
The bedrooms are upstairs.	Los dormitorios están arriba.
to throw	arrojar
It is forbidden to throw things out of the window.	Se prohibe arrojar objetos por la ventanilla.
(male or female) art	la / el arte
This museum has a magnificent collection of modern art.	Este museo tiene una magnífica colección de arte moderno.
Where is the Palace of Fine Arts?	Dónde está el Palacio de Bellas Artes?
the article	el artículo
This article is of no value.	Este artículo no tiene ningún valor.
(male or female) artist	la / el artista
These artists are going to be famous some day.	Estos artistas van a ser famosos algún día.
roasted	asado
I like roasted chestnuts.	Me gustan las castañas asadas.
the elevator	el ascensor
The elevator is out of order today.	El ascensor no funciona hoy.
to insure	asegurar
I'd like to insure my luggage.	Quisiera asegurar mi equipaje.
the restroom (Hispanic), the toilet	los aseos
The restrooms are to the left.	Los aseos están a la izquierda.
thus, this way	así
You should do it this way.	Usted debe hacerlo así.
the seat	el asiento
Please be seated.	Tomen asiento, por favor.
to attend, to show up to	asistir
We want to attend tonight's concert.	Queremos asistir al concierto de esta noche.
the matter, affair	el asunto
It’s a very delicate matter.	Es un asunto muy delicado.
back, behind, backward	atrás
She remained behind because she was walking very slowly.	Se quedó atrás porque caminaba muy despacio.
slow	atrasado
My watch must be slow.	Mi reloj debe estar atrasado.
to cross	atravesar
Wait for the green signal before starting to cross.	Espere la señal verde antes de empezar a atravesar.
to dare	atreverse
I don't dare tell him such a thing.	No me atrevo a decirle tal cosa.
although	aunque
Although we don't have much money, I want to buy this painting.	Aunque no tenemos mucho dinero, quiero comprar esta pintura.
the bus	el autobús
The bus stops at the next corner.	El autobús para en la próxima esquina.
the automobile, car	el automóvil
If you wish, I can take you in my automobile.	Si quiere, le puedo llevar en mi automovil.
the authority	la autoridad
It is not known who has the authority in this matter.	No se sabe quién tiene la autoridad en este asunto.
the avenue	la avenida
Fifth Avenue is an elegant street.	La Quinta Avenida es una calle elegante.
to ascertain, to find out	averiguar
Try to find out if all what he said is true.	Trate de averiguar si es verdad todo lo que dijo.
the airplane	el avión
At what time should the plane from Guadalajara arrive?	A qué hora debe llegar el avión de Guadalajara?
to inform, warn	avisar
Please let me know when I should get off.	Haga el favor de avisarme cuando debo bajar.
the notice, warning	el aviso
I read the notice in the paper.	Leí el aviso en el periódico.
yesterday	ayer
Yesterday we did a lot and we are tired today.	Ayer hicimos mucho y estamos cansados hoy.
to help	ayudar
Can you help me?	Puede usted ayudarme?
the city hall, town hall	el ayuntamiento
Many offices of the municipal government are in the town hall.	En el ayuntamiento hay muchas oficinas del gobierno municipal.
to dance	bailar
May I dance with you?	Me permite bailar con usted?
the dance	el baile
My favorite dance is the tango.	Mi baile favorito es el tango.
to go down, get off	bajar
I think we get off at the next stop.	Creo que bajamos en la próxima parada.
low, short (stature)	bajo
He's shorter than his father.	Es más bajo que su padre.
the bank, bench	el banco
Let's go to the bank to cash these checks.	Vamos al banco para cobrar estos cheques.
the flag	la bandera
The colors of the American flag are red, white and blue.	Los colores de la bandera americana son rojo, blanco y azul.
to bathe (oneself)	bañarse
I prefer to bathe in the morning.	Prefiero bañarme por la mañana.
the bath, bathroom	el baño
A room for two with bath, please.	Una habitación para dos con baño, por favor.
cheap, inexpensive	barato
Buy it, it's very cheap.	Cómprelo, es muy barato.
the chin, beard	la barba
Although he's young, he has a gray beard.	Aunque es joven, tiene la barba gris.
the boat, ship	el barco
I like to go across the lake in a sailboat.	Me gusta cruzar el lago en barco de vela.
the district, neighborhood	el barrio
Many rich people live in this neighborhood.	Mucha gente rica vive en este barrio.
enough, sufficient	bastante
I don't know if I have enough money.	No sé si tengo bastante dinero.
to suffice, be enough	bastar
That's enough. I don't want any more.	Ya basta. No quiero más.
the trunk	el baúl
I think the trunk is too heavy.	Creo que el baúl es demasiado pesado.
to drink	beber
It's dangerous to drink and drive.	Es peligroso beber y conducir.
the drink, beverage	la bebida
What cold drinks do you have?	Qué bebidas frías tiene?
beautiful	bello
Madrid is one of the most gorgeous capitals in Europe.	Madrid es una de las capitales más bellas de Europa.
to kiss	besar
The bride and groom kissed when the ceremony ended.	Los novios se besaron cuando terminó la ceremonia.
the kiss	el beso
Since I can't be with you, I send you a kiss.	Como no puedo estar contigo, te mando un beso.
the library	la biblioteca
You can learn as much in the library as in school.	Se puede aprender tanto en la biblioteca como en la escuela.
well	bien
You speak Spanish very well.	Usted habla muy bien español.
welcome	bienvenido
Welcome to our house!	Bienvenido a nuestra casa!
the ticket, the bill (bank note)	el billete
How much is a ticket to Segovia?	Cuánto cuesta un billete a Segovia?
the blouse	la blusa
We have blouses of cotton or silk.	Tenemos blusas de algodón o de seda.
the mouth	la boca
He didn't open his mouth to protest.	No abrió la boca para protestar.
the wedding	la boda
The wedding took place in the Ritz Hotel.	Se celebró la boda en el hotel Ritz.
the ticket (Latin America)	el boleto
A one-way ticket, please.	Un boleto sencillo, por favor.
the bag, the purse	la bolsa
She lost her purse.	Se le perdió la bolsa.
the pocket	el bolsillo
He was walking with his hands in his pockets.	Andaba con las manos en los bolsillos.
pretty	bonito
How pretty you look today!	Qué bonita estás hoy!
drunk, drunkard	borracho
If you keep on drinking like that, you'll be drunk very soon.	Si sigues bebiendo así, estarás borracho muy pronto.
the forest, woods	el bosque
Be careful with fire in the woods.	Cuidado con el fuego en el bosque.
to throw out, discard (Latin America)	botar
Don't throw those papers out yet.	No bote esos papeles todavía.
the bottle	la botella
My bottle broke.	Se me rompió la botella.
the arm	el brazo
He hurt his arm lifting so much weight.	Se lastimó el brazo levantando tanto peso.
brief	breve
Tell me, briefly, what happened.	Dígame, en breve, qué pasó.
the jest, the prank	la broma
He said it in jest.	Lo dijo en broma.
good	buen, bueno
Good morning. We have good weather today.	Buenos días. Hace buen tiempo hoy.
the package, bundle	el bulto
He went out carrying a bundle of clothing.	Salió llevando un bulto de ropa.
the ship, boat	el buque
It is very pleasant to cross the ocean by ship.	Es muy agradable cruzar el océano en buque.
to look for	buscar
They looked for him everywhere but didn't find him.	Lo buscaron en todas partes pero no lo encontraron.
the gentlemen, sir	el caballero
He's a real gentleman.	Es un verdadero caballero.
to fit in, to be room for	caber
There's room for eight people in this elevator.	Caben ocho personas en este ascensor.
the head	la cabeza
My head aches.	Me duele la cabeza.
each	cada
Each one does what he wants.	Cada uno hace lo que quiere.
to fall	caer
He approached and fell on his knees.	Se acercó y cayó de rodillas.
the bar with food service	la cafetería
The cafeterias are full at about seven PM.	Las cafeterías están llenas hacia las siete de la tarde.
the box, cash register	la caja
Pay at the register, please.	Pague en la caja, por favor.
cashier	cajero / cajera
The cashier will give you the discount.	La cajera le dará el descuento.
the sock	el calcetín
Where can I buy a pair of socks?	Dónde puedo comprar un par de calcetines?
a temperature, a fever	una calentura
You have a temperature and you should not go out.	Tienes una calentura y no debes salir.
warm, hot	caliente
Ow, the coffee is very hot!	Ay, el café está muy caliente!
the heat, warmth	el calor
In the summer it's very hot in southern Spain.	En el verano hace mucho calor en el sur de España.
the street	la calle
Our hotel is on the next street.	Nuestro hotel está en la próxima calle.
the bed	la cama
A room with two beds.	Una habitación con dos camas.
the camera	la cámara
You'll be able to take many pictures with your new camera.	Podrás sacar muchas fotos con tu nueva cámara.
the chambermaid, waitress	la camarera
If you need anything, ask the chambermaid.	Si necesita algo, pídaselo a la camarera.
the waiter	el camarero
Waiter, the check, please.	Camarero, la cuenta, por favor.
to change, exchange	cambiar
I would like to exchange this shirt that I bought yesterday.	Quisiera cambiar esta camisa que compré ayer.
the change, exchange	el cambio
Forgive me, but I have no change.	Perdone, pero no tengo cambio.
to walk	caminar
It's good for your health to walk every day.	Es bueno para la salud caminar todos los días.
the road	el camino
This road is very long.	Este camino es muy largo.
the truck, bus (Mexico)	el camión
Some trucks are very big.	Algunos camiones son grandísimos.
the shirt	la camisa
In the summer I wear short-sleeved shirts.	En el verano llevo camisas de mangas cortas.
the T-shirt, undershirt	la camiseta
Many young men wear T-shirts instead of shirts.	Muchos jóvenes usan camiseta en vez de camisa.
the bell	la campana
We can hear the church bell every morning.	Podemos oír la campana de la iglesia todas las mañanas.
the country, field	el campo
We spend the weekends in our country house.	Pasamos los fines de semana en nuestra casa de campo.
the song	la canción
Love songs move me.	Las canciones de amor me emocionan.
tired	cansado
After four hours in the museum we're tired.	Después de cuatro horas en el museo estamos cansados.
to sing	cantar
As it's your birthday, we're going to sing you a song.	Como es tu cumpleaños, vamos a cantarte una canción.
the capital (city)	la capital
Madrid is the capital of Spain.	Madrid es la capital de España.
the capital (investments)	el capital
He invested all his capital in that business.	Invirtió todo su capital en ese negocio.
the face	la cara
She has a very pretty face.	Tiene una cara muy bonita.
gosh!, good heavens!, darn it!	caramba!
Darn it! We're lost.	Caramba! Estamos perdidos.
the jail	la cárcel
He says he's innocent, but they put him in jail.	Dice que es inocente, pero le metieron en la cárcel.
the affection, the love	el cariño
Much love to the children.	Muchos cariños para los niños.
affectionate	cariñoso
He's always been very affectionate with his in-laws.	Siempre ha sido muy cariñoso con sus cuñados.
expensive	caro
Everything is very expensive in this store.	Todo es muy caro en esta tienda.
the car (Latin America)	el carro
Let's go in your car.	Vamos en tu carro.
the letter, playing card	la carta
Where can I mail these letters?	Dónde puedo echar estas cartas?
the purse, the wallet	la cartera
I think I lost my purse.	Creo que se me perdió la cartera.
the highway	la carretera
The new highways are magnificent.	Las nuevas carreteras son magníficas.
the house, home	la casa
Our house is your house.	Nuestra casa es su casa.
married	casado
Their oldest daughter isn't married yet.	Su hija mayor no está casada todavía.
to get married	casarse
He married a girl much younger than he.	Se casó con una muchacha mucho más joven que él.
almost	casi
Almost everyone arrived on time.	Casi todos llegaron a tiempo.
the case, matter, thing	el caso
It's a very strange case.	Es un caso muy curioso.
the castle	el castillo
It's worthwhile visiting the old castles.	Vale la pena visitar los antiguos castillos.
the chance, the coincidence	la casualidad
Do you know Professor López, by any chance?	Por casualidad, conoce usted al profesor López?
the cold (respiratory)	el catarro
He's caught a terrible cold.	Ha cogido un catarro horrible.
the cathedral	la catedral
Every city has an imposing cathedral.	Cada ciudad tiene una catedral imponente.
the supper, dinner	la cena
Supper is served at nine thirty.	Se sirve la cena a las nueve y media.
to eat supper (dinner)	cenar
People dine very late in Spain.	Se cena muy tarde en España.
the center, business district	el centro
Let's go shopping downtown.	Vamos de compras al centro.
the brush	el cepillo
Where can I buy a toothbrush?	Dónde puedo comprar un cepillo de dientes?
near	cerca de
Give me a room near the elevator.	Deme una habitación cerca del ascensor.
closed	cerrado
Many museums are closed on Mondays.	Muchos museos están cerrados los lunes.
to close	cerrar
Please close the door when you leave.	Haga el favor de cerrar la puerta cuando sale.
the basket	la cesta
Throw the papers in the basket.	Eche los papeles en la cesta.
blind	ciego
In many places blind people sell lottery tickets.	En muchos lugares los ciegos venden billetes de lotería.
the sky, heaven	el cielo
The sky is full of dark clouds.	El cielo está lleno de nubes oscuras.
certain, sure, true	cierto
Is it certain that he will come tomorrow?	Es cierto que vendrá mañana?
the movie theater, movies	el cine
I like to go to the movies to see foreign films.	Me gusta ir al cine para ver películas extranjeras.
the tape (audio), ribbon	la cinta
I bought several audios of the popular singers.	Compré varias cintas de los cantantes populares.
the belt	el cinturón
Fasten your seat belts.	Abróchense los cinturones.
the appointment, date	la cita
You have to call the doctor and make an appointment.	Hay que llamar al médico y fijar cita.
the city	la ciudad
The capital of Mexico is the largest city in Latin America.	La capital de México es la ciudad más grande de Latinoamérica.
"clear, light (color), ""Of course."""	claro
I prefer a lighter color.	Prefiero un color más claro.
Certainly! / Most definitely!	Claro que si!
the class, kind, type	la clase
He has two classes in the morning and one in the afternoon.	Tiene dos clases por la mañana y una por la tarde.
client, customer (male or female)	la / el cliente
The customer is always right.	El cliente siempre tiene razón.
the climate	el clima
This island has an ideal climate.	Esta isla tiene un clima ideal.
to collect, to charge, to cash	cobrar
How much do you charge by the hour?	Cuánto cobra usted por hora?
the kitchen	la cocina
My wife prepares very good meals in this kitchen:	Mi mujer prepara comidas muy buenas en esta cocina.
to cook	cocinar
Where did she learn to cook so well?	Dónde aprendió a cocinar tan bien?
cook	cocinero / cocinera
The cook prepares different dishes every day.	El cocinero prepara platos diferentes todos los días.
the car, coach	el coche
Since I don't have a car, I have to use a taxi.	Como no tengo coche, tengo que usar un taxi.
to take, catch	coger
You have to take bus number 12.	Tiene que coger el autobús número 12.
the line (queue), tail	la cola
The line to the ticket office is very long.	La cola para la taquilla es muy larga.
the necklace	el collar
He wants to buy a pearl necklace for his wife.	Quiere comprar un collar de perlas para su mujer.
the play, comedy	la comedia
Calderórfs plays are very interesting.	Las comedias de Calderón son muy interesantes.
the dining room	el comedor
For dinner we eat in the dining room.	Para la cena comemos en el comedor.
to begin	comenzar
We're beginning to understand better.	Comenzamos a comprender mejor.
to eat	comer
Where do you want to eat tonight?	Dónde desean comer esta noche?
the groceries	los comestibles
You can buy all kinds of groceries in a supermarket.	Se puede comprar toda clase de comestibles en un supermercado.
the food, the meal	la comida
What are the meal hours?	Cuáles son las horas de comida?
as, like	como
He isn't like his brother.	No es como su hermano.
How?	Cómo?
How is the family?	Cómo está la familia?
Why not!	Cómo no!
comfortable	cómodo
I don't feel comfortable here.	No me siento cómodo aquí.
companion, friend	compañero / compañera
I'd like to introduce my good friend Luis.	Quisiera presentar mi buen compañero, Luis.
the company	la compañía
He works for an insurance company.	Trabaja para una compañía de seguros.
to buy	comprar
Where did you buy that dress?	Dónde compró usted ese vestido?
to understand	comprender
I really don't understand the plan they presented.	No comprendo muy bien el plan que presentaron.
the engagement	el compromiso
I can't accept the invitation because I have another engagement.	No puedo aceptar la invitación porque tengo otro compromiso.
with	con
I'd like to go out with her.	Quisiera salir con ella.
to drive, conduct	conducir
